States,2020
Nevada,12.80
Hawaii,11.60
California,10.10
New York,10
Michigan,9.90
New Jersey,9.80
Illinois,9.50
Rhode Island,9.40
Pennsylvania,9.10
Massachusetts,8.90
New Mexico,8.40
Washington,8.40
Louisiana,8.30
West Virginia,8.30
Ohio,8.10
Mississippi,8.10
District of Columbia,8
Connecticut,7.90
Arizona,7.90
Alaska,7.80
Delaware,7.80
Florida,7.70
Texas,7.60
Oregon,7.60
Tennessee,7.50
Colorado,7.30
North Carolina,7.30
Indiana,7.10
Maryland,6.80
New Hampshire,6.70
Kentucky,6.60
Georgia,6.50
Wisconsin,6.30
Minnesota,6.20
South Carolina,6.20
Virginia,6.20
Oklahoma,6.10
Arkansas,6.10
Missouri,6.10
Kansas,5.90
Montana,5.90
Alabama,5.90
Wyoming,5.80
Vermont,5.60
Maine,5.40
Idaho,5.40
Iowa,5.30
North Dakota,5.10
Utah,4.70
South Dakota,4.60
Nebraska,4.20
