Ranks,States
1,District of Columbia
2,Washington
3,Minnesota
4,Utah
5,New Hampshire
6,Idaho
7,Nebraska
8,Virginia
9,Wisconsin
10,Massachusetts
11,Florida
12,Vermont
13,Iowa
14,North Carolina
15,North Dakota
16,South Dakota
17,Colorado
18,Maryland
19,Georgia
20,New Jersey
21,Connecticut
22,New York
23,Oregon
24,Delaware
25,California
26,Hawaii
27,Kansas
28,Maine
29,Missouri
30,Tennessee
31,Illinois
32,Texas
33,Indiana
34,Montana
35,Rhode Island
36,Wyoming
37,Ohio
38,Nevada
39,Michigan
40,Arizona
41,Pennsylvania
42,Kentucky
43,South Carolina
44,Oklahoma
45,Arkansas
46,Alaska
47,Alabama
48,West Virginia
49,New Mexico
50,Mississippi
51,Louisiana
